================================================================================
CPS LOCUS COVERAGE SUMMARY
================================================================================

Total serotypes: 130
Average coverage: 35.4%
Min coverage: 14.7%
Max coverage: 54.7%

Coverage distribution:
    0- 25%:  17 serotypes
   25- 50%: 111 serotypes
   50- 75%:   2 serotypes
   75- 90%:   0 serotypes
   90-100%:   0 serotypes

================================================================================
PER-SEROTYPE DETAILS
================================================================================

19AIII               | 14,949 bp |  14 amplicons |   54.7% covered
22A                  | 20,775 bp |  11 amplicons |   31.3% covered
06E                  | 15,134 bp |   8 amplicons |   31.3% covered
10C                  | 15,224 bp |   8 amplicons |   31.0% covered
10F                  | 15,231 bp |   8 amplicons |   31.0% covered
09A                  | 17,308 bp |   9 amplicons |   30.5% covered
09V                  | 17,309 bp |   9 amplicons |   30.5% covered
33D                  | 15,662 bp |   8 amplicons |   29.9% covered
08                   | 12,068 bp |   6 amplicons |   29.0% covered
18B                  | 20,252 bp |  10 amplicons |   29.0% covered
18C                  | 20,252 bp |  10 amplicons |   29.0% covered
07F                  | 20,450 bp |  10 amplicons |   28.7% covered
07A                  | 20,469 bp |  10 amplicons |   28.7% covered
35F                  | 12,625 bp |   6 amplicons |   27.8% covered
17A                  | 21,503 bp |  10 amplicons |   27.3% covered
25A                  | 17,226 bp |   8 amplicons |   27.2% covered
25F                  | 17,226 bp |   8 amplicons |   27.2% covered
47A                  | 15,152 bp |   7 amplicons |   27.0% covered
10D                  | 15,249 bp |   7 amplicons |   26.9% covered
16A                  | 20,253 bp |   9 amplicons |   26.2% covered
20A                  | 18,024 bp |   8 amplicons |   26.1% covered
16F                  | 18,420 bp |   8 amplicons |   25.6% covered
05                   | 16,355 bp |   7 amplicons |   24.9% covered
33C                  | 14,308 bp |   6 amplicons |   24.7% covered
20C                  | 16,761 bp |   7 amplicons |   23.8% covered
NCC1_pspK_non_encapsulated |  5,064 bp |   2 amplicons |   23.6% covered
20B                  | 17,586 bp |   7 amplicons |   23.4% covered
14                   | 12,876 bp |   5 amplicons |   22.6% covered
09N                  | 15,543 bp |   6 amplicons |   22.4% covered
09L                  | 15,542 bp |   6 amplicons |   22.4% covered
36B                  | 21,895 bp |   9 amplicons |   22.3% covered
11B                  | 13,401 bp |   5 amplicons |   21.6% covered
38                   | 14,694 bp |   5 amplicons |   19.9% covered
29                   | 12,164 bp |   4 amplicons |   19.1% covered
36A                  | 19,113 bp |   6 amplicons |   18.5% covered
13                   | 15,817 bp |   5 amplicons |   18.5% covered
11C                  | 13,384 bp |   4 amplicons |   17.5% covered
43                   | 17,768 bp |   5 amplicons |   16.5% covered
39                   | 15,862 bp |   4 amplicons |   14.7% covered
