================================================================================
CPS LOCUS COVERAGE SUMMARY
================================================================================

Total serotypes: 130
Average coverage: 54.6%
Min coverage: 24.9%
Max coverage: 75.4%

Coverage distribution:
    0- 25%:   1 serotypes
   25- 50%:  41 serotypes
   50- 75%:  87 serotypes
   75- 90%:   1 serotypes
   90-100%:   0 serotypes

================================================================================
PER-SEROTYPE DETAILS
================================================================================

NCC2_S_mitis_aliC_aliD_non_encapsulated |  5,927 bp |  11 amplicons |   75.4% covered
28F                  | 19,963 bp | 123 amplicons |   59.0% covered
28A                  | 19,948 bp | 122 amplicons |   58.9% covered
27                   | 17,431 bp | 127 amplicons |   58.9% covered
19B                  | 18,863 bp |  91 amplicons |   58.8% covered
03                   |  4,586 bp |   5 amplicons |   58.4% covered
35D                  | 15,129 bp |  98 amplicons |   58.4% covered
15F                  | 20,640 bp | 115 amplicons |   57.6% covered
32A                  | 16,973 bp | 116 amplicons |   57.6% covered
15A                  | 16,472 bp | 105 amplicons |   57.4% covered
33G                  | 16,805 bp | 104 amplicons |   57.4% covered
33F                  | 14,496 bp |  97 amplicons |   56.8% covered
07B                  | 19,546 bp |  92 amplicons |   56.4% covered
40                   | 19,539 bp |  92 amplicons |   56.4% covered
18F                  | 21,009 bp |  98 amplicons |   56.0% covered
15D                  | 20,128 bp | 112 amplicons |   56.0% covered
07C                  | 18,402 bp |  76 amplicons |   55.9% covered
22F                  | 20,719 bp | 125 amplicons |   55.5% covered
02                   | 17,501 bp | 126 amplicons |   55.5% covered
11F                  | 14,857 bp |  92 amplicons |   55.2% covered
18A                  | 18,984 bp |  87 amplicons |   54.9% covered
10C                  | 15,224 bp |  59 amplicons |   54.2% covered
10F                  | 15,231 bp |  60 amplicons |   54.2% covered
21                   | 19,663 bp | 109 amplicons |   53.7% covered
33A                  | 15,634 bp |  98 amplicons |   53.4% covered
06E                  | 15,134 bp |  67 amplicons |   53.2% covered
46                   | 19,954 bp |  85 amplicons |   53.0% covered
12A                  | 19,954 bp |  85 amplicons |   53.0% covered
streptococcus-pneumoniae-ctvdb | 17,340 bp |  85 amplicons |   53.0% covered
01                   | 17,338 bp |  85 amplicons |   53.0% covered
33H                  | 19,401 bp | 106 amplicons |   52.7% covered
33E                  | 18,603 bp | 107 amplicons |   52.6% covered
18B                  | 20,252 bp |  96 amplicons |   52.5% covered
18C                  | 20,252 bp |  96 amplicons |   52.5% covered
48                   | 18,646 bp |  88 amplicons |   52.4% covered
12B                  | 19,072 bp |  80 amplicons |   52.4% covered
11F_like             | 14,871 bp |  98 amplicons |   51.8% covered
11E                  | 14,880 bp |  98 amplicons |   51.7% covered
19C                  | 22,064 bp |  77 amplicons |   51.2% covered
07F                  | 20,450 bp |  80 amplicons |   50.8% covered
07A                  | 20,469 bp |  80 amplicons |   50.8% covered
35A                  | 17,652 bp | 100 amplicons |   50.6% covered
15B                  | 16,577 bp |  53 amplicons |   50.3% covered
15C                  | 16,579 bp |  53 amplicons |   50.3% covered
47F                  | 13,963 bp |  39 amplicons |   49.9% covered
33B                  | 15,694 bp |  96 amplicons |   49.4% covered
42                   | 17,649 bp | 101 amplicons |   49.2% covered
35C                  | 17,649 bp |  99 amplicons |   49.2% covered
44                   | 19,079 bp |  80 amplicons |   49.2% covered
12F                  | 19,081 bp |  80 amplicons |   49.2% covered
45                   | 24,088 bp |  92 amplicons |   49.1% covered
11D                  | 14,798 bp |  74 amplicons |   48.9% covered
11A                  | 14,798 bp |  74 amplicons |   48.9% covered
22A                  | 20,775 bp | 119 amplicons |   48.2% covered
16F                  | 18,420 bp |  85 amplicons |   47.9% covered
17A                  | 21,503 bp | 119 amplicons |   47.8% covered
04                   | 16,368 bp |  51 amplicons |   47.1% covered
35F                  | 12,625 bp |  37 amplicons |   45.8% covered
33D                  | 15,662 bp |  95 amplicons |   45.6% covered
09L                  | 15,542 bp |  56 amplicons |   44.9% covered
16A                  | 20,253 bp |  97 amplicons |   44.8% covered
09A                  | 17,308 bp |  96 amplicons |   44.3% covered
09V                  | 17,309 bp |  96 amplicons |   44.2% covered
23B1                 | 21,797 bp |  66 amplicons |   43.8% covered
09N                  | 15,543 bp |  55 amplicons |   43.7% covered
NCC1_pspK_non_encapsulated |  5,064 bp |   6 amplicons |   43.5% covered
47A                  | 15,152 bp |  81 amplicons |   42.3% covered
14                   | 12,876 bp |  54 amplicons |   42.2% covered
20A                  | 18,024 bp |  51 amplicons |   41.8% covered
05                   | 16,355 bp |  33 amplicons |   41.6% covered
08                   | 12,068 bp |  84 amplicons |   41.5% covered
36A                  | 19,113 bp |  72 amplicons |   40.8% covered
20B                  | 17,586 bp |  49 amplicons |   40.6% covered
11B                  | 13,401 bp |  58 amplicons |   40.4% covered
20C                  | 16,761 bp |  53 amplicons |   38.7% covered
33C                  | 14,308 bp |  67 amplicons |   37.8% covered
10D                  | 15,249 bp |  90 amplicons |   36.7% covered
36B                  | 21,895 bp |  65 amplicons |   36.5% covered
11C                  | 13,384 bp |  57 amplicons |   36.2% covered
25F                  | 17,226 bp |  15 amplicons |   35.3% covered
25A                  | 17,226 bp |  15 amplicons |   35.3% covered
13                   | 15,817 bp |  49 amplicons |   34.5% covered
29                   | 12,164 bp |  31 amplicons |   33.2% covered
39                   | 15,862 bp |  32 amplicons |   28.5% covered
38                   | 14,694 bp |  10 amplicons |   25.5% covered
43                   | 17,768 bp |  33 amplicons |   24.9% covered
